questionPatternModEntities,questionPatternModEntitiesJP
Was M0 a screenwriter,M0は脚本家でしたか
Was a composer M0,ある作曲家はM0でしたか
What did M0 found,M0が創設したのは何ですか
What did M0 edit,M0が編集したのは何ですか
Was M0 M1 's sequel,M0はM1の続編でしたか
Was M1 's sequel M0,M1の続編はM0でしたか
What was M0 's parent,M0の親は何でしたか
What was written by M0,何がM0に書かれましたか
Was M0 employed by M1,M0はM1に雇用されましたか
Was M0 written by M1,M0はM1に書かれましたか
Was M0 executive produced by M1,M0はM1にエグゼクティブプロデュースされましたか
Was M1 's costume designer a composer,M1の衣裳デザイナーは作曲家でしたか
Was M1 's cinematographer a screenwriter,M1の撮影監督は脚本家でしたか
Was M1 's spouse M0 's employee,M1の配偶者はM0の被雇用者でしたか
Was M1 produced by a composer,M1は作曲家にプロデュースされましたか
Was a composer of M1 a screenwriter,M1のある作曲家は脚本家でしたか
Was a composer of M1 a cinematographer,M1のある作曲家は撮影監督でしたか
What sequel of M1 did M0 distribute,M0が配給したのはM1のどの続編ですか
What sequel of M1 starred M0,M1のどの続編はM0を主演させましたか
Was M0 's founder a parent of M1,M0の創設者はM1の親でしたか
Was M0 's sibling a employee of M1,M0の兄弟姉妹はM1の被雇用者でしたか
What employer of M0 was M1 's distributor,M1の配給者はM0のどの雇用主でしたか
What employer of M1 was M0 's parent,M1のどの雇用主はM0の親会社でしたか
Was a costume designer 's spouse M0 's sibling,ある衣裳デザイナーの配偶者はM0の兄弟姉妹でしたか
Was a costume designer 's spouse M0 's founder,ある衣裳デザイナーの配偶者はM0の創設者でしたか
What was written and directed by M0,何がM0に書かれ、監督されましたか
What was written and edited by M0,何がM0に書かれ、編集されましたか
Was a costume designer M2 's Swedish parent,ある衣裳デザイナーはM2のスウェーデン人の親でしたか
Was M2 's spouse a Japanese cinematographer,M2の配偶者は日本の撮影監督でしたか
What employer of a film director did M0 found,M0が創設したのはどの映画監督の雇用主ですか
What was written by and produced by M0,何がM0に書かれ、プロデュースされましたか
Was a costume designer 's employer a producer of M0,ある衣裳デザイナーの雇用主はM0のプロデューサーでしたか
Was a costume designer 's sibling a spouse of M0,ある衣裳デザイナーの兄弟姉妹はM0の配偶者でしたか
What employer of M0 was a company 's parent,ある会社の親会社はM0のどの雇用主でしたか
What employer of M0 was a film 's distributor,ある映画の配給者はM0のどの雇用主でしたか
Was M1 's producer and distributor founded by M0,M1のプロデューサーと配給者はM0に創設されましたか
Was a costume designer a Swedish spouse of M2,ある衣裳デザイナーはM2のスウェーデン人の配偶者でしたか
What spouse and sibling of M0 married M1,M0のどの配偶者と兄弟姉妹がM1と結婚しましたか
